OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
116,65.01952,0.5760253,1.417e-06,0.1900078,1e-06,0.02858545,0.07285497,0.03092703,0.02397238,0.02619579,0.06336698,0.02485188,0.02584413,0.0637559,0.01518348,0.01047707
117,65.59555,0.5245696,1.167e-06,0.1921823,9.17e-07,0.02099022,0.02928895,0.02773229,0.0215138,0.02627387,0.06345073,0.02843954,0.02640913,0.0627174,0.01510581,0.01046348
118,66.12012,0.525253,1.25e-06,0.1930202,9.17e-07,0.02129655,0.0293002,0.02686287,0.02144455,0.02643179,0.06311382,0.02850421,0.02637213,0.0630869,0.01543323,0.0103844
119,66.64537,0.5233928,1.5e-06,0.1914211,9.16e-07,0.02127422,0.02924812,0.02682229,0.0214063,0.02638596,0.06301448,0.02848529,0.02642787,0.06320482,0.01525606,0.0104439
120,67.16877,0.5187123,1.334e-06,0.1919289,1.167e-06,0.02099538,0.02926495,0.02682771,0.02200172,0.02597488,0.06407573,0.02444805,0.02660954,0.06537165,0.01424131,0.006969906
121,67.68748,0.524237,1.25e-06,0.1920644,1e-06,0.02102705,0.02929795,0.02758212,0.02147405,0.02659654,0.06312357,0.02824071,0.02542804,0.0637609,0.01511381,0.01052565
122,68.21171,0.5183201,1.583e-06,0.1918634,1.166e-06,0.02092313,0.02927412,0.02682296,0.02144613,0.02645654,0.06298598,0.0245933,0.02635104,0.06625548,0.01433856,0.007006655
123,68.73003,0.5152503,2e-06,0.1863211,1.083e-06,0.02087072,0.02934012,0.02674237,0.02142638,0.02615712,0.06267965,0.02831354,0.02657713,0.06511273,0.01473939,0.006966906
124,69.24528,0.5868947,1.333e-06,0.1897201,1.583e-06,0.02850771,0.07293022,0.03092979,0.0237713,0.02659579,0.06296857,0.04207102,0.02566371,0.06267673,0.01404364,0.007013156
125,69.83218,0.5163134,1.333e-06,0.1899203,1.167e-06,0.02094638,0.02929362,0.02677704,0.02149922,0.02625437,0.0631324,0.02443563,0.02598629,0.06286348,0.01533273,0.009869401
126,70.34849,0.5167881,1.417e-06,0.1895938,1.083e-06,0.02094347,0.02929895,0.02681096,0.02148505,0.02709987,0.06355748,0.02461096,0.02635038,0.06583648,0.01424614,0.006952072
127,70.86528,0.5776718,1.167e-06,0.1886765,9.16e-07,0.02856921,0.07290689,0.03090837,0.02389796,0.02644338,0.06338557,0.02839379,0.02640029,0.06266073,0.01489048,0.01053665
128,71.44295,0.5687183,1.25e-06,0.1844342,1.167e-06,0.02865604,0.07285122,0.03093645,0.02399413,0.02542963,0.06372065,0.02453946,0.02584538,0.06278473,0.01513373,0.01039023
