OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
113,3.009848,0.02489579,1e-06,0.01015023,8.33e-07,0.001285415,0.001367747,0.002439746,0.002276913,0.001189748,0.002963912,0.001468165,0.000864415,0.000537666,0.000349999
114,3.034744,0.02678937,1.167e-06,0.009327568,1.166e-06,0.001683331,0.00190783,0.003292245,0.002953162,0.001466664,0.002863995,0.001446665,0.000863998,0.000650416,0.000331166
115,3.061533,0.0226513,1.5e-06,0.009342485,8.34e-07,0.001173831,0.001348081,0.002413913,0.00226033,0.001172581,0.00217133,0.001155665,0.000662082,0.000557082,0.000391583
116,3.084184,0.02346346,1.083e-06,0.01007815,8.33e-07,0.001290331,0.001405165,0.002416746,0.002260329,0.001179082,0.002156413,0.001166998,0.000664249,0.000507749,0.000336333
117,3.107648,0.02969162,1.25e-06,0.007137239,8.33e-07,0.003682494,0.005585991,0.002413329,0.003139995,0.001555414,0.002969912,0.001463164,0.000862832,0.000554916,0.00032425
118,3.13734,0.03071462,1.417e-06,0.009385735,1.166e-06,0.002012247,0.005082075,0.003472328,0.002993662,0.001516247,0.002869662,0.001463998,0.001058665,0.000512332,0.000345083
119,3.168054,0.0232708,1.416e-06,0.009484485,7.5e-07,0.001582831,0.001370747,0.00247083,0.002301413,0.001185081,0.002185913,0.001183998,0.000667166,0.000496332,0.000339833
120,3.191325,0.03017353,1.25e-06,0.006190156,6.67e-07,0.003890577,0.007855154,0.002407329,0.002305413,0.001268165,0.002967328,0.001447331,0.000846499,0.000614749,0.000378916
121,3.221499,0.02966662,1e-06,0.009897984,1.417e-06,0.001210164,0.001837747,0.003320662,0.002964078,0.001465165,0.002861495,0.004337993,0.000861832,0.000579999,0.000327083
122,3.251165,0.02654562,1.25e-06,0.008980486,8.33e-07,0.001539331,0.005174575,0.002473746,0.002290663,0.001189414,0.002192997,0.001194748,0.000669582,0.000501083,0.000336916
123,3.277711,0.0290447,1.083e-06,0.009513818,1.084e-06,0.001463331,0.004965242,0.002441329,0.003055912,0.001484414,0.002878329,0.00146883,0.000863999,0.000562582,0.00034475
124,3.306755,0.03026603,1.167e-06,0.009554068,1e-06,0.001263164,0.005518325,0.003282161,0.002976079,0.001473581,0.002964745,0.001461081,0.000861332,0.000584332,0.000324999
125,3.337022,0.01895497,1.083e-06,0.009494568,1.166e-06,0.001210332,0.000784165,0.001434081,0.001510414,0.000962832,0.001445081,0.000869749,0.000474332,0.00044025,0.000326916
126,3.355976,0.02085422,1.083e-06,0.01032557,7.5e-07,0.001341247,0.000846249,0.001427331,0.001532248,0.001141081,0.001819414,0.001022915,0.000565582,0.000504416,0.000326333
127,3.376831,0.02088938,1.167e-06,0.009351318,8.33e-07,0.001218915,0.001099831,0.001932997,0.001995414,0.001042081,0.001813914,0.001027915,0.000577916,0.000500999,0.000326083
128,3.39772,0.02388696,9.17e-07,0.0102669,9.16e-07,0.001385915,0.001390081,0.002406996,0.002252996,0.001329915,0.002188663,0.001172081,0.000668416,0.000484582,0.000338583
129,3.421607,0.02561112,1e-06,0.009516984,9.17e-07,0.001194165,0.001403081,0.002420663,0.002236413,0.001169498,0.00217133,0.003997493,0.000670166,0.000506832,0.000322583
130,3.447218,0.02652129,1.25e-06,0.01045157,1e-06,0.001173165,0.001352164,0.002403246,0.002238747,0.004015993,0.002193997,0.001182748,0.000672249,0.000512749,0.000322416
131,3.473739,0.02553529,1.25e-06,0.009376735,8.33e-07,0.001140581,0.001430581,0.00242133,0.002262413,0.00401766,0.002219246,0.001188332,0.000669915,0.000482083,0.000324333
132,3.499275,0.02325196,1.083e-06,0.009540734,7.5e-07,0.001197998,0.001352665,0.002604996,0.002321079,0.001318581,0.002238247,0.001184748,0.000676165,0.000494416,0.0003205
133,3.522527,0.02302188,1.083e-06,0.009513151,1.167e-06,0.001145832,0.001417414,0.002418496,0.002327413,0.001208915,0.002288496,0.001189998,0.000668416,0.000502165,0.000339333
134,3.545549,0.02601588,1.334e-06,0.009709817,8.34e-07,0.001260164,0.001396665,0.002408246,0.002265246,0.004086827,0.002213413,0.001176331,0.000668916,0.000503916,0.000324166
135,3.571564,0.02586171,1.5e-06,0.008812819,1.333e-06,0.001166582,0.001389414,0.002416496,0.005160492,0.001209498,0.002191413,0.001983914,0.000686248,0.000515333,0.000326666
136,3.597426,0.02305088,1.084e-06,0.009485401,1.333e-06,0.001267248,0.001423331,0.00241083,0.002397579,0.001200165,0.002186079,0.001161915,0.000671333,0.000521999,0.000322582
